IND,LAT,LON,DBH_2022,HEIGHT,SOIL_RESP,Family,Genus,Species
1244,-2.5952556,-60.2080494,91,,,Sapotaceae,Pouteria,erythrochrysa
1245,-2.5952509,-60.2080555,29,,,Lauraceae,Ocotea,sp
1246,-2.5952489,-60.2080573,32,,,Lauraceae,Ocotea,sp
1247,-2.5952557,-60.2080671,31,,,Moraceae,Maquira,sclerophylla
1248,-2.5952361,-60.20806,30,,,Fabaceae,Inga,brachyrhachis
1249,-2.5952353,-60.2080607,22,,,Annonaceae,Duguetia,flagellaris
1250,-2.595248,-60.20807,23,,,Chrysobalanaceae,Licania,micrantha
1252,-2.5952717,-60.2080679,25,,,Anacardiaceae,Astronium,lecointei
1254,-2.5952671,-60.2080731,23,,,Annonaceae,Duguetia,flagellaris
1255,-2.5952654,-60.2080825,52,,,Lecythidaceae,Eschweilera,pedicellata
1257,-2.5952484,-60.2080818,72,,,Chrysobalanaceae,Licania,niloi
1258,-2.5952511,-60.2080773,75,,,Lauraceae,Aniba,megaphylla
1259,-2.5952444,-60.2080762,56,,,Lauraceae,Licaria,hirsuta
1260,-2.595236,-60.2080811,88,,,Euphorbiaceae,Micrandropsis,scleroxylon
1261,-2.5952204,-60.20808,64,,,Euphorbiaceae,Dodecastigma,amazonicum
1262,-2.5952188,-60.208033,32,,,Burseraceae,Protium,nitidifolium
1263,-2.5952109,-60.2080344,61,,,Violaceae,Rinorea,racemosa
1264,-2.5952167,-60.2080402,72,,,Moraceae,Brosimum,rubescens
1266,-2.5951988,-60.2080756,91,,,Annonaceae,Duguetia,flagellaris
1271,-2.5951891,-60.2080046,48,,,Fabaceae,Pterocarpus,rohrii
1273,-2.595182,-60.2080489,34,,,Violaceae,Paypayrola,grandiflora
1274,-2.5951739,-60.2080419,30,,,Violaceae,Paypayrola,grandiflora
1275,-2.5952444,-60.2080635,48,,,Burseraceae,Protium,hebetatum
1276,-2.5952028,-60.2080435,97,,,Fabaceae,Ormosia,paraensis
1277,-2.5951964,-60.2080447,34,,,Violaceae,Paypayrola,grandiflora
1278,-2.5951949,-60.2080295,66,,,Salicaceae,Ryania,speciosa
1279,-2.5951793,-60.2080236,66,,,Violaceae,Rinorea,paniculata
1280,-2.5951772,-60.2080223,30,,,Sapotaceae,Pouteria,reticulata
1281,-2.5951825,-60.2080164,92,,,Lecythidaceae,Eschweilera,micrantha
1282,-2.5951923,-60.2080094,22,,,Burseraceae,Protium,altsonii
1283,-2.5952006,-60.2079984,22,,,Malvaceae,Theobroma,sylvestre
1284,-2.5952242,-60.2080036,37,,,Lecythidaceae,Eschweilera,wachenheimii
1285,-2.5952202,-60.2079944,91,,,Euphorbiaceae,Mabea,angularis
1286,-2.5952262,-60.2079885,21,,,Violaceae,Paypayrola,grandiflora
1287,-2.5952316,-60.2079656,39,6.19,,Lecythidaceae,Eschweilera,wachenheimii
1288,-2.5952288,-60.2079685,33,6.47,,Lecythidaceae,Eschweilera,grandiflora
1289,-2.5952234,-60.2079696,33,6.72,,Sapotaceae,Pouteria,platyphylla
1290,-2.5952029,-60.2079643,24,4.11,,Annonaceae,Duguetia,flagellaris
1291,-2.5951961,-60.2079862,56,9.47,,Lecythidaceae,Eschweilera,wachenheimii
1292,-2.5951933,-60.2079801,93,,,Annonaceae,Unonopsis,sp
1294,-2.5951865,-60.2079756,34,,,Euphorbiaceae,Mabea,angularis
1296,-2.5951846,-60.2079911,25,,,Annonaceae,Duguetia,flagellaris
1297,-2.5951789,-60.2079851,70,,,Myrtaceae,Eugenia,sp.1
1298,-2.5951735,-60.2079952,21,,,Annonaceae,Duguetia,flagellaris
1299,-2.5951635,-60.2079993,30,,,Annonaceae,Duguetia,flagellaris
1300,-2.5951628,-60.2080101,79,,,Violaceae,Rinorea,paniculata
1304,-2.5951097,-60.2079604,31,,,Burseraceae,Protium,hebetatum
1306,-2.5951596,-60.2079661,31,,,Annonaceae,Duguetia,flagellaris
1307,-2.5951639,-60.2079665,20,,,Violaceae,Rinorea,racemosa
1308,-2.5951679,-60.2079741,25,,,Chrysobalanaceae,Licania,apetala
1546,-2.5951422,-60.2080125,113,,,Humiriaceae,Vantanea,parviflora
1547,-2.5951384,-60.2080391,173,,,Burseraceae,Protium ,apiculatum
1548,-2.5951596,-60.2080371,537,,1,,,
1549,-2.5951681,-60.208039,131,19.46,,Salicaceae,Laetia,procera
1551,-2.5951688,-60.2080533,179,,,Rubiaceae,Amaioua,glomerulata
1554,-2.5951438,-60.207942,230,15.17,1,Euphorbiaceae,Dodecastigma,amazonicum
1555,-2.5951167,-60.207954,105,12.02,,Annonaceae,Fusaea,longifolia
1556,-2.5951545,-60.2079669,141,21.96,,Lecythidaceae,Corythophora,alta
1558,-2.5951679,-60.207968,208,20.23,,Sapotaceae,Ecclinusa,guianensis
1559,-2.5951804,-60.2079866,200,34.1,1,Sapotaceae,Diploon,cuspidatum
1560,-2.5952022,-60.2079908,336,,1,Fabaceae,Swartzia,tessmannii
1578,-2.5952419,-60.2079582,145,,,Fabaceae,Scleronema,sp
1579,-2.5952054,-60.208076,167,,,Elaeocarpaceae,Sloanea,floribunda
1598,-2.5953683,-60.2080117,158,19.13,,Cecropiaceae,Pourouma,guianensis
2001,-2.596206,-60.2076185,248,23.24,1,Lauraceae,Ocotea,cernua
2002,-2.5962077,-60.2076359,242,23.15,,Lecythidaceae,Eschweilera,amazoniciformis
2003,-2.5962009,-60.2076647,113,11.99,,Sapotaceae,Pouteria,virescens
2004,-2.5961902,-60.20767,170,21.6,,Malvaceae,Sterculia,pruriens
2005,-2.5961759,-60.207761,209,22.93,,Fabaceae,Bocoa,viridiflora
2006,-2.5962097,-60.2077771,162,18.28,,Burseraceae,Protium,hebetatum
2007,-2.5961797,-60.2077381,225,24.96,1,Annonaceae,Guatteria,discolor
2008,-2.5961527,-60.2077378,156,15.16,,Lecythidaceae,Gustavia,elliptica
2009,-2.5961464,-60.2077562,187,21.28,,Fabaceae,Tachigali,myrmecophila
2010,-2.596144,-60.2077129,348,16.47,1,Euphorbiaceae,Micrandropsis,scleroxylon
2011,-2.5961434,-60.207708,100,11.46,,Elaeocarpaceae,Sloanea,floribunda
2012,-2.5961564,-60.2076914,117,16.09,,Rubiaceae,Amaioua,guianensis
2013,-2.5961183,-60.2076728,444,29.18,1,Euphorbiaceae,Micrandropsis,scleroxylon
2014,-2.5960904,-60.2076762,174,24.06,,Lecythidaceae,Eschweilera,collina
2015,-2.5960946,-60.2076861,180,19.54,,Lecythidaceae,Eschweilera,amazoniciformis
2016,-2.596138,-60.2076574,126,11.99,,Lecythidaceae,Eschweilera,grandiflora
2017,-2.5961639,-60.2076427,201,18.05,1,Anisophyllaceae,Anisophyllea,manausensis
2018,-2.5961797,-60.2076415,103,12.04,,Euphorbiaceae,Micrandropsis,scleroxylon
2019,-2.5961353,-60.2076377,120,28.24,,Chrysobalanaceae,Licania,caudata
2020,-2.5961094,-60.2076129,173,27.64,,Fabaceae,Swartzia,tessmannii
2021,-2.5960954,-60.2076111,532,28.99,,Olacacae,Minquartia,guianensis
2022,-2.5961481,-60.2076276,118,14.27,,Lepidobotryaceae,Ruptiliocarpon,caracolito
2024,-2.5961208,-60.2075744,571,39.62,,Sapotaceae,,
2025,-2.5961365,-60.2075269,201,24.13,,Fabaceae,Tachigali,sp
2026,-2.5961578,-60.2075318,296,26.37,1,Sapotaceae,Pouteria,freitasii
2027,-2.5961647,-60.2075276,226,26.09,1,Sapotaceae,Pouteria,sp
2028,-2.5961735,-60.2075212,133,21.13,,Fabaceae,Vatairea,paraensis
2029,-2.596198,-60.2075334,164,17.78,,Lecythidaceae,Eschweilera,truncata
2030,-2.5962254,-60.207517,152,21.74,,Lecythidaceae,Eschweilera,amazoniciformis
2031,-2.5962017,-60.2075586,124,16.93,,Burseraceae,Protium,hebetatum
2032,-2.5962433,-60.2075372,223,23.6,1,Humiriaceae,Vantanea,parviflora
2033,-2.5962655,-60.207536,398,26.04,1,Melastomataceae,Mouriri,angulicosta
2034,-2.5963042,-60.2075402,144,11.93,,Malvaceae,Scleronema,micranthum
2035,-2.5962655,-60.2075897,203,22.57,1,Sapotaceae,Pouteria,minima
2036,-2.5962715,-60.207586,129,17.23,,Burseraceae,Protium,trifoliolatum
2037,-2.5962799,-60.2076243,466,36.09,1,Lecythidaceae,Eschweilera,bracteosa
2038,-2.5962774,-60.2076272,177,19.84,,Sapindaceae,Matayba,purgans
2039,-2.5962849,-60.2076371,132,18.62,,Burseraceae,Protium,apiculatum
2040,-2.5962996,-60.2076215,237,35.37,1,Euphorbiaceae,Glycidendron,amazonicum
2041,-2.5963486,-60.2076109,579,26.26,,Apocynaceae,Aspidosperma,macgravianum
2042,-2.5963268,-60.2076312,104,19.52,,Burseraceae,Protium,hebetatum
2043,-2.5963215,-60.2076461,263,21.43,,Lecythidaceae,Eschweilera,wachenheimii
2045,-2.5963131,-60.2076576,138,21.23,,Lecythidaceae,Eschweilera,grandiflora
2046,-2.5963471,-60.2076755,129,18.35,,Burseraceae,Protium,hebetatum
2047,-2.596347,-60.2076783,354,27.76,1,Fabaceae,Piptadenia,sp
2048,-2.5962405,-60.2076336,114,13.96,,Urticaceae,Pourouma,tomentosa
2049,-2.5962655,-60.2076593,118,16.34,,Myrtaceae,Eugenia,sp
2050,-2.596297,-60.2076933,133,13.74,,Lecythidaceae,Gustavia,elliptica
2051,-2.5962977,-60.2077381,415,28.11,,Lecythidaceae,Eschweilera,sp
2052,-2.5962732,-60.2077177,298,32.4,1,Sapotaceae,Pouteria,manaosensis
2053,-2.596225,-60.2077249,110,13,,Moraceae,Sorocea,guilleminiana
2054,-2.5962148,-60.2077226,208,18.75,1,Burseraceae,Protium,decandrum
2056,-2.5962127,-60.207667,205,20.27,1,Rubiaceae,Cordiera,myrciifolia
2202,-2.5961012,-60.2076261,33,6.73,,Lecythidaceae,Eschweilera,pedicellata
2204,-2.5961289,-60.2076238,41,6.42,,Annonaceae,Duguetia,flagellaris
2205,-2.5961137,-60.2076085,98,16.33,,Annonaceae,Duguetia,stelechantha
2206,-2.5961136,-60.2076026,48,9.63,,Lecythidaceae,Eschweilera,pedicellata
2207,-2.5961092,-60.2076003,38,6.92,,Burseraceae,Protium,hebetatum
2208,-2.5961117,-60.2075965,96,18.18,,Annonaceae,Guatteria,citriodora
2209,-2.5961227,-60.2075929,36,7.04,,Burseraceae,Protium,altsonii
2210,-2.596131,-60.2075929,27,4.01,,Fabaceae,Zygia,racemosa
2211,-2.5961425,-60.2075949,44,7.52,,Lecythidaceae,Eschweilera,wachenheimii
2212,-2.5961433,-60.2076053,47,7.38,,Annonaceae,Guatteria,punctata
2213,-2.5961551,-60.2076115,50,3.89,,Fabaceae,Swartzia,cuspidata
2214,-2.5961635,-60.2076017,33,4.94,,Annonaceae,Pseudoxandra,obscurinervis
2215,-2.5961876,-60.2076083,37,4.9,,Fabaceae,Tachigali,sp.2
2216,-2.5961778,-60.207615,37,5.19,,Dichapetalaceae,Tapura,guianensis
2217,-2.5961807,-60.2076173,24,4.37,,Malvaceae,Theobroma,sylvestre
2219,-2.5961706,-60.2076322,39,6.24,,Meliaceae,Guarea,kunthiana
2220,-2.596207,-60.2076269,47,6.3,,Fabaceae,Tachigali,sp
2221,-2.5962142,-60.2075968,25,4.07,,Violaceae,Paypayrola,grandiflora
2222,-2.59621,-60.2075925,76,9.53,,Euphorbiaceae,Dodecastigma,amazonicum
2223,-2.5962051,-60.207588,88,13.95,,Vochysiaceae,Erisma,bicolor
2224,-2.5962025,-60.2075968,23,4.38,,Erythroxylaceae,Erythroxylum,amplum
2225,-2.5961581,-60.2075795,83,12.85,,Euphorbiaceae,Senefeldera ,macrophylla
2226,-2.5961605,-60.2075716,55,10.76,,Lecythidaceae,Eschweilera,grandiflora
2227,-2.5961541,-60.2075702,35,5.78,,Lecythidaceae,Eschweilera,wachenheimii
2228,-2.5961508,-60.2075721,48,8.88,,Burseraceae,Dacryodes,cuspidata
2230,-2.5961184,-60.2075846,22,3.26,,Piperaceae,Piper,sp
2231,-2.5961181,-60.2075781,72,13.13,,Euphorbiaceae,Micrandropsis,scleroxylon
2232,-2.596124,-60.2075699,38,7.12,,Vochysiaceae,Erisma,bicolor
2233,-2.5961527,-60.2075536,28,4.95,,Annonaceae,Duguetia,flagellaris
2234,-2.5961448,-60.20755,84,10.31,,Lecythidaceae,Eschweilera,pseudodecolorans
2236,-2.5961761,-60.2075251,43,9.92,,Lauraceae,Licaria,macrophylla
2237,-2.5961823,-60.2075453,28,4.56,,Chrysobalanaceae,Couepia,canomensis
2238,-2.5961815,-60.2075499,52,9.41,,Burseraceae,Protium,hebetatum
2239,-2.5961762,-60.2075617,29,3.81,,Annonaceae,Duguetia,flagellaris
2240,-2.596196,-60.2075643,70,13.69,,Elaeocarpaceae,Sloanea,latifolia
2241,-2.5961996,-60.2075524,40,8.61,,Euphorbiaceae,Senefeldera,macrophylla
2242,-2.5962037,-60.2075587,28,8.05,,Fabaceae,Swartzia,schomburgkii
2243,-2.5962084,-60.2075477,29,4.04,,Lecythidaceae,Eschweilera,wachenheimii
2244,-2.5962006,-60.2075409,35,7.19,,Lauraceae,Aniba,canelilla
2250,-2.5962239,-60.2075085,45,7.49,,Sapotaceae,Manilkara,bidentata
2252,-2.5962236,-60.2075273,69,9.95,,Lecythidaceae,Eschweilera,wachenheimii
2253,-2.5962454,-60.2075398,68,10.2,,Siparunaceae,Siparuna,cuspidata
2254,-2.5962235,-60.2075536,36,4.4,,Annonaceae,Duguetia,flagellaris
2255,-2.5962187,-60.207564,60,10.18,,Euphorbiaceae,Micrandropsis,scleroxylon
2256,-2.5962228,-60.2075844,53,8.26,,Chrysobalanaceae,Couepia,canomensis
2257,-2.5962223,-60.2075779,46,9.01,,Chrysobalanaceae,Licania,gracilipes
2258,-2.5962191,-60.2076062,81,13.35,,Annonaceae,Duguetia,stelechantha
2259,-2.5962432,-60.2075898,48,9.83,,Humiriaceae,Sacoglottis,guianensis
2260,-2.5962476,-60.2075863,102,16.65,,Chrysobalanaceae,Licania,heteromorpha
2261,-2.5962511,-60.2075855,40,8.41,,Fabaceae,Tachigali,sp.2
2262,-2.5962516,-60.2075915,72,11.78,,Ebenaceae ,Diospyros,bullata
2263,-2.596254,-60.2075994,34,,,Myrsinaceae,Cybianthus,guyanensis
2264,-2.5962628,-60.2075885,23,3.3,,Annonaceae,Duguetia,flagellaris
2265,-2.5962641,-60.207589,40,8.45,,Sapotaceae,Pouteria,sp
2266,-2.5962626,-60.2075783,44,9.43,,Burseraceae,Protium,hebetatum
2267,-2.5962571,-60.2075672,100,11.15,,Fabaceae,Macrolobium,suaveolans
2268,-2.5962615,-60.2075643,24,3.7,,Lauraceae,Aniba,sp
2269,-2.5962714,-60.2075791,27,4.88,,Lauraceae,Ocotea,scabrella
2270,-2.5962765,-60.2075921,40,4.7,,Nyctaginaceae,Neea,divaricata
2271,-2.5962769,-60.2075995,35,7.27,,Burseraceae,Protium,pallidum
2272,-2.5962927,-60.2075755,46,9.05,,Annonaceae,Guatteria,scytophylla
2273,-2.5962543,-60.2075433,25,2.59,,Annonaceae,Duguetia,flagellaris
2276,-2.5962716,-60.2075329,33,7.56,,Sapotaceae,Chrysophyllum,argenteum
2277,-2.5962976,-60.2075354,52,9.25,,Burseraceae,Protium,decandrum
2278,-2.5962984,-60.2075346,91,8.24,,Violaceae,Rinorea,paniculata
2279,-2.5963094,-60.2075428,34,7.82,,Burseraceae,Protium,hebetatum
2281,-2.5963285,-60.2075626,66,10.21,,Lacistemaceae,Lacistema,grandifolium
2282,-2.5963254,-60.2075794,22,4.71,,Fabaceae,Inga,umbellifera
2283,-2.5963196,-60.2075787,22,3.91,,Dichapetalaceae,Tapura,guianensis
2284,-2.5962441,-60.2076182,54,9.92,,Sapotaceae,Pouteria,guianensis
2285,-2.5962449,-60.2076389,84,11.2,,Burseraceae,Protium,hebetatum
2286,-2.5962457,-60.2076386,44,6.87,,Chrysobalanaceae,Couepia,canomensis
2287,-2.5962685,-60.207619,28,5.5,,Urticaceae,Pourouma,velutina
2288,-2.5962665,-60.2076275,22,3.38,,Burseraceae,Protium,hebetatum
2289,-2.5962722,-60.2076199,56,9.6,,Lauraceae,Mezilaurus,itauba
2290,-2.596267,-60.2076426,47,8.24,,Rubiaceae,Faramea,platyneura
2291,-2.5962672,-60.2076535,35,6.38,,Fabaceae,Swartzia,ulei
2292,-2.5962772,-60.2076657,46,9.56,,Lacistemaceae,Lacistema,grandifolium
2293,-2.5962804,-60.2076529,33,6.81,,Violaceae,Rinorea,guianensis
2294,-2.5962928,-60.2076225,43,6.35,,Annonaceae,Duguetia,flagellaris
2295,-2.5962992,-60.2076361,43,6.7,,Sapotaceae,Micropholis,mensalis
2296,-2.5963051,-60.2076429,27,5.07,,Violaceae,Paypayrola,grandiflora
